Account Type,RID,Domain,Username,Account Status,LM,NTLM,Cracked Password,Password Health,Password Last Set
machine,2019,,WIN7LAX86$,Enabled,AAD3B435B51404EEAAD3B435B51404EE,22A311969503925CA6D9A74A1EC3CCD3,,Not Cracked,1976-04-25 19:41,,
user,1016,acme.com,Kaya,Disabled,AAD3B435B51404EEAAD3B435B51404EE,6D3986E540A63647454A50E26477EF94,master,Weak - Less than 8,1992-10-25 00:31,,
user,1009,acme.com,Delaney,Enabled,AAD3B435B51404EEAAD3B435B51404EE,320A78179516C385E35A93FFA0B1C4AC,baseball,Cracked,2008-07-07 08:12,,
machine,2048,,CENTOSLAX90$,Enabled,AAD3B435B51404EEAAD3B435B51404EE,B9042C74F1CB2D73DDF196D16CC4D151,,Not Cracked,1973-08-15 03:14,,
user,1005,acme.com,Bella,Enabled,AAD3B435B51404EEAAD3B435B51404EE,C22B315C040AE6E0EFEE3518D830362B,123456789,Weak - 123456,1997-06-27 21:40,,
user,1074,acme.com,John,Enabled,AAD3B435B51404EEAAD3B435B51404EE,BBE35E31127F6967DBAB5B2643515606,,Not Cracked,1989-10-17 23:31,,
machine,2027,,W2K8PAR63$,Enabled,AAD3B435B51404EEAAD3B435B51404EE,1779BC1C7DB4F121BE2615480D2EBC7C,,Not Cracked,2011-05-08 09:57,,
machine,2035,,WINXPNYC64$,Enabled,AAD3B435B51404EEAAD3B435B51404EE,5E59518CA8EDEAE2BB544B13FE3FFD6E,,Not Cracked,1988-08-11 06:18,,
user,1080,acme.com,Janiah,Enabled,E86E7B1134CEE7BAAAD3B435B51404EE,C56AB39C73F71277D927F9A1E73D39F6,black,Weak - Less than 8,1989-01-23 22:10,,
machine,2002,,WIN10LAX79$,Enabled,AAD3B435B51404EEAAD3B435B51404EE,6F206EC23EA4F171E84E4AF88EAE4B2B,,Not Cracked,1983-10-16 08:44,,
user,1011,acme.com,Jaylan,Disabled,AAD3B435B51404EEAAD3B435B51404EE,8AF326AA4850225B75C592D4CE19CCF5,1234567890,Weak - 123456,1995-12-02 10:43,,
user,1022,acme.com,Catherine,Enabled,AAD3B435B51404EEAAD3B435B51404EE,094637A340FFA46E543AF530DC667F28,Solo123,Weak - Less than 8,1999-09-30 23:48,,
user,1062,acme.com,Britney,Enabled,AAD3B435B51404EEAAD3B435B51404EE,C5BEABA7CC3BE23A5DD30C3F822990C0,,Not Cracked,2008-03-25 03:14,,
user,1030,labs.acme.com,Camilla,Enabled,AAD3B435B51404EEAAD3B435B51404EE,2ACD674D8482E4DCA632409246E008EB,February2017,Weak - february,1974-09-20 18:32,,
user,1099,acme.com,Grayson,Enabled,A57BC036109AD6C4AAD3B435B51404EE,A4A02C448197F67CD9E982A5E5D0ACC3,rabbit,Weak - Less than 8,1973-03-04 00:32,,
user,1026,acme.com,Warren,Enabled,AAD3B435B51404EEAAD3B435B51404EE,E9A402C4050E25047A2A9D4F2D67FD2B,Winter2017,Weak - 2017,1983-11-25 00:26,,
machine,2005,,WINXPNYC45$,Enabled,AAD3B435B51404EEAAD3B435B51404EE,F5999666274395AEB645313B58C06905,,Not Cracked,1970-12-09 15:55,,
